id,rrsId,rsmId,score,time,feedback,reviewScore,teacherReview
280,6,4,2,"2024-10-06 21:34:43","they print nothing",-1,0
281,6,5,1,"2024-10-06 21:34:43","yes but there is no argument so there is no output",-1,0
282,6,6,2,"2024-10-06 21:34:43","they don't print anything",-1,0
283,169,4,1,"2024-10-07 00:23:23",,-1,0
284,169,5,1,"2024-10-07 00:23:23",,-1,0
285,169,6,1,"2024-10-07 00:23:23",,-1,0
286,173,4,1,"2024-10-07 00:26:05",,-1,0
287,173,5,1,"2024-10-07 00:26:05",,-1,0
288,173,6,1,"2024-10-07 00:26:05",,-1,0
289,177,4,1,"2024-10-07 00:27:13",,-1,0
290,177,5,1,"2024-10-07 00:27:13",,-1,0
291,177,6,1,"2024-10-07 00:27:13",,-1,0
292,25,4,2,"2024-10-07 17:06:55",沒寫程式碼,-1,0
293,25,5,1,"2024-10-07 17:06:55",,-1,0
294,25,6,1,"2024-10-07 17:06:55",,-1,0
295,29,4,2,"2024-10-07 17:08:00",沒有程式碼,-1,0
296,29,5,1,"2024-10-07 17:08:00",,-1,0
297,29,6,1,"2024-10-07 17:08:00",,-1,0
298,33,4,2,"2024-10-07 17:10:13",沒有程式碼,4,0
299,33,5,1,"2024-10-07 17:10:13",,-1,0
300,33,6,1,"2024-10-07 17:10:13",,-1,0
301,152,4,1,"2024-10-07 18:36:23",good,-1,0
302,152,5,1,"2024-10-07 18:36:23",good,-1,0
303,152,6,1,"2024-10-07 18:36:23",good,-1,0
304,156,4,1,"2024-10-07 18:36:46",good,-1,0
305,156,5,1,"2024-10-07 18:36:46",good,-1,0
306,156,6,1,"2024-10-07 18:36:46",good,-1,0
307,18,4,1,"2024-10-07 22:28:23",,-1,0
308,18,5,1,"2024-10-07 22:28:23",,-1,0
309,18,6,1,"2024-10-07 22:28:23",,-1,0
310,14,4,2,"2024-10-07 22:35:41","未印出Hello World",4,0
311,14,5,1,"2024-10-07 22:35:41",,-1,0
312,14,6,1,"2024-10-07 22:35:41",,-1,0
313,22,4,1,"2024-10-07 23:12:10",,-1,0
314,22,5,1,"2024-10-07 23:12:10",,-1,0
315,22,6,1,"2024-10-07 23:12:10",,-1,0
316,26,4,2,"2024-10-07 23:15:37","沒輸出Hello World",-1,0
317,26,5,2,"2024-10-07 23:15:37",無法編譯,-1,0
318,26,6,2,"2024-10-07 23:15:37",沒打程式,-1,0
319,30,4,2,"2024-10-07 23:17:30","未輸出Hello World",-1,0
320,30,5,2,"2024-10-07 23:17:30",無法執行,-1,0
321,30,6,2,"2024-10-07 23:17:30",沒打程式,-1,0
322,70,4,1,"2024-10-08 09:33:55",,-1,0
323,70,5,1,"2024-10-08 09:33:55",,-1,0
324,70,6,1,"2024-10-08 09:33:55",,-1,0
325,74,4,1,"2024-10-08 09:34:10",,-1,0
326,74,5,1,"2024-10-08 09:34:10",,-1,0
327,74,6,1,"2024-10-08 09:34:10",,-1,0
328,78,4,1,"2024-10-08 09:34:20",,-1,0
329,78,5,1,"2024-10-08 09:34:20",,-1,0
330,78,6,1,"2024-10-08 09:34:20",,-1,0
331,285,7,1,"2024-10-08 10:10:09",,-1,0
332,285,8,1,"2024-10-08 10:10:09",,-1,0
333,285,9,1,"2024-10-08 10:10:09",,-1,0
334,281,7,1,"2024-10-08 10:11:45",,-1,0
335,281,8,1,"2024-10-08 10:11:45",,-1,0
336,281,9,1,"2024-10-08 10:11:45",,-1,0
337,298,7,1,"2024-10-08 10:14:42",,-1,0
338,298,8,1,"2024-10-08 10:14:42",,-1,0
339,298,9,1,"2024-10-08 10:14:42",,-1,0
340,94,4,1,"2024-10-08 10:15:04",,-1,0
341,94,5,1,"2024-10-08 10:15:04",,-1,0
342,94,6,1,"2024-10-08 10:15:04",,-1,0
343,277,7,2,"2024-10-08 10:15:09",檔案只有一個，沒有程式出現，注意上傳是否有成功正確,-1,0
344,277,8,2,"2024-10-08 10:15:09",檔案只有一個，沒有程式出現，注意上傳是否有成功正確,-1,0
345,277,9,2,"2024-10-08 10:15:09",檔案只有一個，沒有程式出現，注意上傳是否有成功正確,-1,0
346,77,4,1,"2024-10-08 10:15:58",,-1,0
347,77,5,1,"2024-10-08 10:15:58",,-1,0
348,77,6,1,"2024-10-08 10:15:58",,-1,0
349,81,4,1,"2024-10-08 10:16:05",,-1,0
350,81,5,1,"2024-10-08 10:16:05",,-1,0
351,81,6,1,"2024-10-08 10:16:05",,-1,0
352,217,7,1,"2024-10-08 10:18:58",是,-1,0
353,217,8,1,"2024-10-08 10:18:58","符合 使用了每個所需單字的第一個字母",-1,0
354,217,9,1,"2024-10-08 10:18:58",有,-1,0
355,310,7,1,"2024-10-08 10:19:01",,-1,0
356,310,8,1,"2024-10-08 10:19:01",,-1,0
357,310,9,1,"2024-10-08 10:19:01",,-1,0
358,319,7,1,"2024-10-08 10:19:11",程式碼很精簡,-1,0
359,319,8,1,"2024-10-08 10:19:11",命名沒有很清楚,-1,0
360,319,9,1,"2024-10-08 10:19:11",簡單到不用註解！,-1,0
361,314,7,2,"2024-10-08 10:21:33",沒code,-1,0
362,314,8,2,"2024-10-08 10:21:33",沒code,-1,0
363,314,9,2,"2024-10-08 10:21:33",沒code,-1,0
364,323,7,1,"2024-10-08 10:21:58",程式功能齊全,-1,0
365,323,8,1,"2024-10-08 10:21:58",程式碼整齊易讀,-1,0
366,323,9,1,"2024-10-08 10:21:58",簡單到不用註解,-1,0
367,318,7,2,"2024-10-08 10:23:01",沒code,0,0
368,318,8,2,"2024-10-08 10:23:01",沒code,0,0
369,318,9,2,"2024-10-08 10:23:01",沒code,-1,0
370,296,7,2,"2024-10-08 10:24:55","1. 沒有輸出體重狀態
2. 體重輸出小數點第一位 ( line 15 )",-1,0
371,296,8,1,"2024-10-08 10:24:55",,-1,0
372,296,9,1,"2024-10-08 10:24:55",,-1,0
373,327,7,1,"2024-10-08 10:25:35",功能齊全,-1,0
374,327,8,1,"2024-10-08 10:25:35",變數名稱可以更清楚,-1,0
375,327,9,1,"2024-10-08 10:25:35",簡單到不用註解,-1,0
376,181,7,2,"2024-10-08 10:26:52",身高單位顯示錯誤,3,0
377,181,8,1,"2024-10-08 10:26:52",有利用好辨識的變數名稱,-1,0
378,181,9,2,"2024-10-08 10:26:52",沒有註解,3,0
379,355,7,1,"2024-10-08 10:32:08",有印出正確結果,-1,0
380,355,8,1,"2024-10-08 10:32:08",符合變數名稱格式,-1,0
381,355,9,2,"2024-10-08 10:32:08",可以多加註解,3,0
382,185,7,2,"2024-10-08 10:32:36",作業未達到要求，程式碼完全無法執行,-1,0
383,185,8,2,"2024-10-08 10:32:36",沒有變數,-1,0
384,185,9,2,"2024-10-08 10:32:36",沒有註解,-1,0
385,300,7,2,"2024-10-08 10:33:01","1. BMI輸出格式不對 line13
2. 題目輸入身高為公分，但代碼中輸入的是公尺",0,0
386,300,8,1,"2024-10-08 10:33:01",,-1,0
387,300,9,1,"2024-10-08 10:33:01",,-1,0
388,79,4,1,"2024-10-08 10:33:57",,-1,0
389,79,5,1,"2024-10-08 10:33:57",,-1,0
390,79,6,1,"2024-10-08 10:33:57",,-1,0
391,83,4,1,"2024-10-08 10:34:40",,-1,0
392,83,5,1,"2024-10-08 10:34:40",,-1,0
